Nombre,Apellido,Edad,Grado,Sección,DPCC,Ciencias sociales,EPT,Educación física,Comunicación,Arte y cultura,Inglés,Matemática,CTA
Juan,Pérez,12,2,A,16,15,12,14,19,18,15,13,17
Lucía,González,12,2,B,18,20,10,12,15,16,14,19,11
Miguel,López,12,2,C,14,17,15,11,12,13,10,18,15
Sofía,Ramírez,13,2,A,19,12,14,16,18,15,20,11,13
Andrés,Castillo,12,2,A,10,14,12,13,11,16,18,10,14
Valeria,Hernández,12,2,B,13,17,15,12,14,11,19,16,17
Diego,Morales,12,2,C,15,20,11,18,17,15,14,12,16
María,Aguirre,12,2,C,11,10,14,19,16,18,20,14,12
Liliana,Cáceres,12,2,B,13,12,11,15,16,19,14,10,18
Fresia,Diaz,12,2,B,20,13,15,11,12,18,14,10,15
Margarita,Martínez,12,2,A,14,15,12,13,19,10,18,16,11
Mila,Alarcón,12,2,A,10,19,11,14,12,16,13,15,20
Perla,Álvarez,12,2,B,12,14,10,20,15,19,11,13,14
Clavel,Arias,12,2,C,8,12,17,19,10,15,14,18,17
Yadyra,Carrasco,12,2,A,9,15,12,11,14,13,18,19,20
Sebastian,Castro,12,2,A,7,14,20,15,11,12,18,17,16
Lucero,Chávez,12,2,C,6,12,17,16,15,11,18,13,10
Margarett,Calderón,12,2,B,3,19,14,20,16,10,17,15,11
Flora,Cáceres,12,2,A,2,15,10,14,12,20,18,11,19
